hazy_file,clear_file,beta,psnr,ssim
0001_0.8_0.2.jpg,0001.png,0.8,17.61021685910588,0.9203716
0002_0.8_0.08.jpg,0002.png,0.8,16.628122568764653,0.81637996
0003_0.8_0.2.jpg,0003.png,0.8,16.3485288694933,0.88971597
0004_0.9_0.12.jpg,0004.png,0.9,17.705347762563523,0.935023
0006_0.85_0.08.jpg,0006.png,0.85,17.493702244425013,0.85509473
0007_0.9_0.16.jpg,0007.png,0.9,22.460243496244633,0.9186116
0009_0.8_0.16.jpg,0009.png,0.8,18.943231991002733,0.89028746
0010_0.95_0.16.jpg,0010.png,0.95,17.855513304977787,0.81052756
0011_0.95_0.16.jpg,0011.png,0.95,21.76992176685738,0.8835535
0014_0.8_0.12.jpg,0014.png,0.8,18.8311663747733,0.9278698
0016_0.8_0.08.jpg,0016.png,0.8,15.20731490549554,0.8276458
0017_0.9_0.08.jpg,0017.png,0.9,19.195406396368742,0.91548324
0018_0.9_0.2.jpg,0018.png,0.9,20.81858709184786,0.93485755
0019_0.8_0.16.jpg,0019.png,0.8,18.813572333072308,0.9217623
0021_0.8_0.08.jpg,0021.png,0.8,17.009904174091393,0.9015443
0022_0.8_0.08.jpg,0022.png,0.8,16.806639761408185,0.8656993
0023_0.85_0.12.jpg,0023.png,0.85,21.19373961890554,0.9265025
0024_0.85_0.08.jpg,0024.png,0.85,20.087366843526844,0.86654663
0025_0.8_0.16.jpg,0025.png,0.8,18.772078709564568,0.9018262
0026_0.95_0.08.jpg,0026.png,0.95,20.483178974106167,0.88217944
0029_0.85_0.08.jpg,0029.png,0.85,17.510263522682138,0.8737121
0030_0.95_0.12.jpg,0030.png,0.95,22.975338560132982,0.9511315
0033_0.85_0.08.jpg,0033.png,0.85,15.380260995881374,0.8349948
0034_0.9_0.16.jpg,0034.png,0.9,21.519511900171185,0.9358098
0036_1_0.08.jpg,0036.png,1.0,19.263051862490556,0.9146716
0039_0.9_0.2.jpg,0039.png,0.9,21.18610306790593,0.91116506
0040_1_0.08.jpg,0040.png,1.0,20.67119785354345,0.9227571
0042_0.8_0.2.jpg,0042.png,0.8,18.39272671277208,0.9275504
0045_0.8_0.16.jpg,0045.png,0.8,17.216003183703762,0.922165
0046_0.9_0.16.jpg,0046.png,0.9,21.19895957356263,0.91841555
0047_0.9_0.12.jpg,0047.png,0.9,21.218258279905857,0.91179794
0048_0.9_0.2.jpg,0048.png,0.9,18.572070050075176,0.89208823
0049_0.85_0.12.jpg,0049.png,0.85,17.90504763679565,0.90166515
0051_0.8_0.2.jpg,0051.png,0.8,19.60393555142867,0.9358632
0051_0.95_0.12.jpg,0051.png,0.95,23.638999559180757,0.94758415
0052_0.9_0.16.jpg,0052.png,0.9,21.276107880746615,0.9102048
0053_0.9_0.12.jpg,0053.png,0.9,21.53651248113032,0.9135158
0054_0.85_0.16.jpg,0054.png,0.85,20.778095323646504,0.9384393
0055_0.85_0.12.jpg,0055.png,0.85,18.082476680490494,0.8959562
0056_0.8_0.16.jpg,0056.png,0.8,18.848730129311924,0.9339323
0057_0.8_0.12.jpg,0057.png,0.8,15.486114771328733,0.9036513
0058_0.8_0.2.jpg,0058.png,0.8,20.22345182091705,0.91443604
0059_0.9_0.12.jpg,0059.png,0.9,20.37736143146111,0.9345131
0060_0.9_0.2.jpg,0060.png,0.9,19.762375333611953,0.86008453
0061_0.8_0.2.jpg,0061.png,0.8,18.48559238072098,0.9132693
0062_0.9_0.2.jpg,0062.png,0.9,16.73699843975229,0.8410959
0063_0.8_0.16.jpg,0063.png,0.8,18.592513890408952,0.8873357
0064_0.8_0.2.jpg,0064.png,0.8,18.92066274783108,0.89419913
0065_0.9_0.12.jpg,0065.png,0.9,20.93228790808171,0.9192197
0066_1_0.08.jpg,0066.png,1.0,17.16770648972686,0.90835506
0068_1_0.16.jpg,0068.png,1.0,21.781454682754994,0.92516536
0069_0.9_0.16.jpg,0069.png,0.9,22.80303948910791,0.955488
0070_0.9_0.12.jpg,0070.png,0.9,16.97764570638035,0.90162724
0071_0.8_0.2.jpg,0071.png,0.8,18.50913060316321,0.92964864
0072_0.9_0.2.jpg,0072.png,0.9,21.340542775953402,0.9125304
0073_0.8_0.16.jpg,0073.png,0.8,18.076739010238956,0.7808194
0074_0.8_0.2.jpg,0074.png,0.8,15.966660622284445,0.7415344
0075_0.8_0.2.jpg,0075.png,0.8,18.332590082274873,0.91505593
0076_0.8_0.2.jpg,0076.png,0.8,19.939629621789067,0.92104787
0076_1_0.16.jpg,0076.png,1.0,23.74826294728379,0.9433696
0077_0.8_0.2.jpg,0077.png,0.8,15.710114876040981,0.7670812
0079_0.8_0.12.jpg,0079.png,0.8,18.631280014521106,0.91024286
0081_0.8_0.2.jpg,0081.png,0.8,17.955318349807186,0.9442921
0082_0.85_0.16.jpg,0082.png,0.85,19.268310526410495,0.9238462
0083_0.85_0.12.jpg,0083.png,0.85,18.081330944600452,0.91839886
0084_0.95_0.16.jpg,0084.png,0.95,24.311938722086165,0.9409421
0085_0.95_0.08.jpg,0085.png,0.95,19.985161926552284,0.8125317
0086_0.8_0.2.jpg,0086.png,0.8,19.489438477545285,0.9048547
0086_0.95_0.12.jpg,0086.png,0.95,22.72230278794443,0.92932016
0087_0.9_0.16.jpg,0087.png,0.9,21.004035514940774,0.9378922
0088_0.9_0.12.jpg,0088.png,0.9,22.176477579185292,0.932538
