beta,faces_detected_pretrained,similarity_pretrained,faces_detected_finetuned,similarity_finetuned
2.5,1,0.7403662204742432,1,0.7879409
2.8,1,0.7242830395698547,1,0.76522
3.0,1,0.6923664212226868,1,0.7461716
3.3,1,0.6370211839675903,1,0.6843302
3.6,1,0.5783311128616333,1,0.65783966
3.9,1,0.5292150378227234,1,0.6836369
4.2,0,,1,0.5612353
